subs,class,EEAct,ERAct,RRAct,EEActUnsigned,ERActUnsigned,RRActUnsigned,subsMem,RT,eHippLeft,eHippRight,rHippLeft,rHippRight,encSess,retSess,Item,ClassSpecVoxVals,OtherClassSpecVoxVals,IntensityActDiff,NrmIntensityActDiff,globalSignal,EERSA_CorClass,EERSA_IncClass,ERRSA_CorClass,ERRSA_IncClass,eHippLeftUnstd,eHippRightUnstd,rHippLeftUnstd,rHippRightUnstd,EEHippOnlyAct,ERHippOnlyAct,EIntensity_ActCor,EIntensity_ActInc,EIntensity_ActDiff
1,2,-1.933,-1.4873,3.6107,1.933,1.4873,-3.6107,1,1.5513,-0.43189,-0.38792,0.40735,0.5942,1,2,SHADY,1.0022,0.9742,0.18164,-0.11329,0.95675,0.13193,-0.1301,-0.030757,-0.098301,-0.068693,-0.049055,0.66218,0.70889,0.68706,1.0565,0.6796,-0.84898,1.5286
1,2,1.8811,0.090549,0.64707,-1.8811,-0.090549,-0.64707,1,1.6795,-0.63264,-0.69495,0.024007,-0.44113,2,2,FADDISH,-1.912,0.55014,-1.7362,0.83018,0.07827,-0.058633,0.20173,0.025514,0.082769,-0.095065,-0.091694,0.031116,-0.093084,-1.3846,2.8483,-1.3173,-0.23597,-1.0813
1,2,-0.53541,-0.15667,-1.5848,0.53541,0.15667,1.5848,0,1.8872,-2.6725,-3.0249,0.29615,-0.88936,6,2,OFFICIAL,-2.3488,0.63947,-2.1119,0.43699,-0.17931,0.075807,0.021084,-0.0073513,-0.13293,-0.71993,-0.72819,-0.036357,-0.36171,1.1987,-0.1337,0.17882,-0.41816,0.59698
1,2,0.16358,1.108,-2.1747,-0.16358,-1.108,2.1747,1,1.739,-1.5297,-1.7629,-0.8803,-1.3538,5,2,DELICATE,-1.1588,0.58496,-1.1973,0.25168,-0.34041,-0.04947,0.064077,-0.011567,-0.0098384,-0.62102,-0.66639,-0.49141,-0.57138,1.006,0.32361,-0.9171,-1.2498,0.33272
1,2,-2.2059,-0.76762,2.5157,2.2059,0.76762,-2.5157,1,1.5275,-0.05547,-0.48636,1.8489,1.692,5,2,MONUMENTAL,0.15349,-0.4375,0.36631,-0.035868,0.74389,0.11164,-0.13625,-0.033238,-0.16735,-0.15346,-0.29122,0.97757,0.82199,2.0949,2.2076,1.3695,-1.2827,2.6521
1,2,-0.98047,0.91721,0.52063,0.98047,-0.91721,-0.52063,1,2.1112,0.47095,0.57336,-0.26372,-0.61765,6,2,CATHOLIC,0.38848,-0.50575,0.58006,-0.63865,-0.004518,0.091114,-0.082859,-0.014302,-0.023351,-0.051875,-0.078468,-0.10581,-0.18692,0.73413,-3.2885,1.1453,-0.6937,1.839
1,1,2.8734,-0.76284,4.4151,2.8734,-0.76284,4.4151,0,2.2429,-0.23944,-0.34244,-1.4482,-1.9584,4,2,GRIM,1.6181,-1.1251,1.8498,-0.069034,1.5371,0.36824,-0.08789,-0.14334,-0.047457,0.25299,0.26373,0.45044,0.5167,0.083873,0.061752,1.5056,-1.5335,3.039
1,1,2.9838,2.1969,-0.73106,2.9838,2.1969,-0.73106,1,1.7233,0.80313,1.2095,-0.53795,1.3242,2,2,TRIBAL,0.42788,-1.0479,0.9221,-0.26195,-0.25316,0.3414,-0.094031,0.069561,0.021309,-0.042106,-0.013995,-0.33554,0.097174,4.0343,0.88996,1.8403,-0.73298,2.5732
1,1,1.2941,0.56722,0.67593,1.2941,0.56722,0.67593,0,1.983,0.051465,-0.28975,-2.3397,-1.2535,6,2,MAJESTIC,0.35627,-1.1648,0.93641,0.048544,0.82709,0.29253,-0.10421,-0.019694,-0.035955,-0.48373,-0.64791,-0.24912,0.20651,0.75486,0.30513,0.026098,-0.92827,0.95437
1,1,0.73435,-0.97378,0.2574,0.73435,-0.97378,0.2574,1,1.3467,-0.19243,-0.62546,2.0503,2.4852,3,2,WET,-0.49916,0.20681,-0.48972,-0.32512,0.34325,0.26495,-0.018879,-0.16944,-0.057607,0.1601,0.07216,0.8082,0.74762,-2.9307,-0.95198,0.27569,-0.77247,1.0482
1,1,0.070919,0.4846,-2.1095,0.070919,0.4846,-2.1095,1,1.6875,0.78728,1.7618,0.60664,0.58958,2,2,BUFF,0.92634,0.88335,0.17775,0.018713,-0.73342,0.11742,-0.032399,0.067232,0.029256,0.42615,0.65973,-0.2677,-0.38185,0.30844,-1.0376,0.69614,-0.44606,1.1422
1,1,4.3258,0.34426,1.195,4.3258,0.34426,1.195,1,2.1792,1.1242,0.91222,0.12803,-0.0075491,4,2,SATANIC,0.71345,0.98547,-0.039137,-0.057356,0.29046,0.34707,-0.13317,0.065526,0.0003646,0.23234,0.11736,0.18743,0.14312,1.2687,1.6174,1.0484,-1.6416,2.69
1,2,-2.5133,1.1272,-1.4568,2.5133,-1.1272,1.4568,0,2.875,0.56315,0.54515,-0.39267,-0.5027,1,2,EVIL,-1.1547,-0.85206,-0.36528,0.062691,-0.27562,0.074602,-0.08231,-0.0089936,0.0033471,0.09028,0.045196,-0.30412,-0.3352,0.71743,1.4289,0.32566,-1.2038,1.5295
1,2,-0.84815,-0.17258,1.1364,0.84815,0.17258,-1.1364,1,1.5915,0.45221,-0.31918,0.24448,-0.11382,5,2,MEDICAL,0.21632,1.4993,-0.70448,-0.34221,0.18634,0.066886,-0.015839,-0.0028517,0.0066909,0.25196,0.045079,0.16219,0.051623,-0.81627,0.39848,0.44257,0.46214,-0.019568
1,2,-3.0522,-1.7755,1.1478,3.0522,1.7755,-1.1478,1,1.9991,-0.06585,-0.02861,1.6038,1.3886,2,2,BUOYANT,0.46015,-0.51231,0.63703,0.02231,0.69802,0.059998,-0.10301,-0.013278,-0.09764,0.28344,0.32135,0.87648,0.72375,3.1556,1.6123,0.75325,-1.7752,2.5285
1,2,-0.11784,-0.91214,-0.65508,0.11784,0.91214,0.65508,1,2.1708,-0.26226,0.39864,-0.97195,-0.71032,4,2,BRIDAL,0.89225,0.74148,0.23431,-0.098799,-0.3538,-0.023065,0.074702,0.049497,0.082087,0.23759,0.44026,-0.52728,-0.43295,-1.8736,1.9268,0.31391,0.069541,0.24436
1,1,3.3538,0.77604,0.19078,3.3538,0.77604,0.19078,1,1.5154,1.1442,0.40308,-0.038476,0.22795,6,2,SLEEPY,0.16853,-0.43792,0.37771,0.12021,0.38253,0.32537,-0.088223,0.0091208,-0.0052693,0.15539,-0.10447,0.1903,0.25637,3.9389,0.31664,1.5195,-1.3085,2.8279
1,1,1.4759,0.63312,-0.29822,1.4759,0.63312,-0.29822,1,1.463,0.95422,0.68773,-0.53673,-0.1453,5,2,MYTHICAL,-0.00038101,1.2622,-0.72848,1.4252,-0.066719,0.17349,-0.051772,0.10341,0.017717,0.129,-0.0011659,-0.22611,-0.1188,2.3199,1.605,0.60981,-0.40392,1.0137
1,1,3.3059,-0.44633,-1.3495,3.3059,-0.44633,-1.3495,0,2.0187,0.21032,0.7572,-0.26123,-0.8284,1,2,CORPORATE,0.39769,-0.10664,0.35664,-0.25093,-0.12012,0.36905,-0.12451,0.053759,0.022087,0.057483,0.1758,-0.17277,-0.30966,-1.0417,0.41783,1.0207,-0.97306,1.9938
1,1,2.057,-0.3385,0.50421,2.057,-0.3385,0.50421,1,1.8462,0.30843,0.21901,-1.0638,-0.68552,6,3,ABUSIVE,0.20156,0.26785,-0.0049652,-0.046313,0.32885,0.25641,-0.051554,0.055076,0.035539,-2.3417e-05,-0.057049,-0.15583,0.012703,1.8167,-2.9121,1.0091,-1.0521,2.0612
1,2,-1.952,-0.21527,-2.4069,1.952,0.21527,2.4069,1,1.4625,-1.7316,0.39479,0.63196,0.28645,4,3,FERAL,0.98445,0.2851,0.56603,-0.16019,-0.41973,0.076119,-0.072449,-0.063203,-0.098181,-0.89952,-0.37633,-0.074796,-0.2478,0.97334,-1.0333,1.0371,-0.70923,1.7464
1,1,0.47654,-1.2915,-0.52837,0.47654,-1.2915,-0.52837,0,1.6823,-0.53932,-0.70331,0.49869,0.18716,1,3,HOMELY,0.3691,0.88136,-0.2346,0.34224,-0.081662,0.19058,-0.015036,0.10055,0.050482,-0.30962,-0.36634,0.083147,-0.052276,1.2758,0.054986,0.44044,-0.72269,1.1631
1,2,1.2216,1.498,-0.38969,-1.2216,-1.498,0.38969,1,2.1423,0.96231,0.085145,0.76089,0.8994,4,3,PATRIOTIC,-0.33984,0.54783,-0.56824,0.24763,-0.12588,-0.042353,0.25648,0.026029,0.025912,0.18909,-0.088437,0.1377,0.082301,-0.64029,1.4638,0.076046,0.76024,-0.6842
1,2,-2.2011,1.0756,0.59573,2.2011,-1.0756,-0.59573,0,1.9227,-0.58287,0.006217,2.1813,2.399,3,3,SENIOR,-0.65068,0.22473,-0.61249,-0.35944,0.38898,0.12719,-0.15316,-0.020237,-0.10754,-0.21913,-0.070508,0.87487,0.75715,0.83434,-1.6558,1.3707,-0.40904,1.7797
1,1,1.8389,0.018578,0.15015,1.8389,0.018578,0.15015,1,1.2465,-0.87228,-0.44919,0.010328,-0.41238,4,3,SAVAGE,0.12519,-0.66634,0.47733,-0.18576,-0.17046,0.34371,-0.091457,0.076013,0.028723,-0.27662,-0.15718,-0.1189,-0.24683,1.3661,2.6661,0.46748,-1.2056,1.6731
1,2,-2.7607,-0.60784,-0.92346,2.7607,0.60784,0.92346,1,1.5462,1.6534,0.31442,0.94976,0.78658,6,3,SOCIAL,-0.18884,0.14157,-0.22181,0.084496,-0.069754,0.12897,-0.12984,-0.0088964,-0.024982,0.68763,0.31044,0.22868,0.092719,1.052,-0.47103,1.0954,-0.66032,1.7557
1,1,3.8359,-0.0010975,-0.049899,3.8359,-0.0010975,-0.049899,1,1.5741,0.77563,0.98021,0.14228,0.91456,4,3,BRUTAL,0.92381,-0.86781,1.1862,1.8279,0.15241,0.38131,-0.13541,-0.0051464,0.0076579,0.2321,0.24686,0.11091,0.26536,2.1794,-0.35899,1.9109,-1.1896,3.1005
1,2,-3.9034,0.001176,-2.0447,3.9034,-0.001176,2.0447,1,1.6505,-0.42553,-0.050554,-3.6407,-2.0754,2,3,EARTHY,-0.24442,-0.8982,0.33683,0.015473,-0.74981,0.10149,-0.23749,-0.013619,-0.10369,-0.37524,-0.31254,-1.5677,-0.99631,1.1661,1.0433,1.9988,-2.0411,4.0399
1,1,-0.15478,0.59522,1.3714,-0.15478,0.59522,1.3714,1,1.2705,-0.23944,0.09497,-0.84984,-1.164,2,3,NAKED,1.6846,0.73312,0.82707,0.18764,0.23271,0.22893,-0.093662,0.06432,0.011746,0.35262,0.48597,-0.14671,-0.15899,-1.017,2.1049,0.51199,-0.31472,0.82671
1,1,3.9515,2.2992,0.68917,3.9515,2.2992,0.68917,1,1.6698,-0.0036681,-0.13661,0.377,-0.66119,6,3,PERFUMED,0.78492,-1.0875,1.2099,-0.85899,-0.050827,0.38688,-0.088435,0.060832,0.018941,-0.19832,-0.27018,0.063864,-0.22674,3.2806,1.3354,1.4317,-1.8036,3.2353
