RTs,subs,class,EncAct,subsMem,ECent
1.9103,2,FALSE,-1.0209,2,0.46205
2.2619,2,TRUE,0.56849,1,0.55069
2.0423,2,TRUE,1.106,2,0.40096
2.5582,2,TRUE,-0.61066,1,0.26542
2.2741,2,TRUE,4.6566,2,0.58056
1.3465,2,TRUE,0.26319,2,0.25529
1.7262,2,TRUE,0.034222,2,0.15637
2.0305,2,TRUE,-0.48347,2,0.14967
2.3539,2,TRUE,1.8637,2,0.34353
1.4024,2,FALSE,3.4822,2,0.2293
2.0382,2,TRUE,1.6201,1,0.29657
1.8419,2,FALSE,0.9851,2,0.028707
1.6617,2,TRUE,1.472,2,0.26771
1.9302,2,FALSE,3.7071,2,-0.19641
2.6442,3,FALSE,2.1861,2,0.35211
1.8246,3,FALSE,-0.82129,2,-0.37489
1.1404,3,TRUE,1.7459,2,0.34585
1.2243,3,FALSE,-1.4089,2,-0.21989
1.38,3,FALSE,1.4471,2,0.35384
1.976,3,FALSE,-0.98819,2,-0.018703
1.2884,3,FALSE,0.29167,2,-0.018651
1.5,3,FALSE,1.2487,2,0.11043
1.2718,3,TRUE,-1.1087,1,0.36647
1.3922,3,TRUE,-0.44379,2,0.17244
1.356,3,TRUE,3.9917,2,0.1177
2.264,3,FALSE,1.1177,1,0.037677
1.4765,3,TRUE,1.3681,1,-0.061713
1.3203,3,TRUE,2.0309,2,0.28564
1.884,3,FALSE,0.012143,2,0.15455
2.32,3,TRUE,-0.10585,2,0.29336
1.1324,3,FALSE,2.9443,2,-0.36067
1.4721,3,TRUE,-0.32043,2,-0.063676
0,3,FALSE,1.0094,1,0.29901
1.0487,3,TRUE,0.3248,2,0.24274
1.0203,3,TRUE,0.27238,2,-0.16827
1.3441,3,TRUE,1.5707,2,-0.056523
1.0279,3,TRUE,1.9472,2,0.32552
1.9526,3,FALSE,3.1992,1,0.47434
2.5122,3,FALSE,-0.16039,2,0.029239
1.7009,3,TRUE,0.56495,2,0.08879
1.128,3,FALSE,2.7136,1,0.023881
1.8679,3,TRUE,-0.070617,2,0.079609
1.5882,3,FALSE,1.4903,1,-0.069148
1.5842,3,TRUE,1.709,2,0.28138
1.3159,3,TRUE,2.8734,2,-0.23069
1.1604,3,FALSE,1.1481,1,0.17413
1.2122,3,TRUE,1.3505,2,-0.035989
2.12,3,FALSE,2.1982,2,0.075096
1.6919,3,TRUE,3.3372,1,0.23243
1.0556,3,TRUE,0.79283,2,0.22931
1.5402,3,FALSE,0.38098,2,-0.015619
1.6321,3,FALSE,1.0481,2,0.074167
1.708,3,TRUE,2.1928,2,-0.040478
1.2319,3,TRUE,1.4563,2,0.38702
1.9882,3,FALSE,0.44895,2,-0.13078
1.492,3,TRUE,1.6104,2,0.26285
1.8444,3,FALSE,2.0901,2,0.15656
